Project/Group name,Provider,Established year,Years active,Last activity,# of contributors,Primary coding language,Language breakdown,Total LoC (est.),# of Repos,# of MRs/PRs,# of Merged,Avg LoC per MR,% Simple fixes,% Standard feature work,% Rich tasks,Other %,Automated %,# of Commits,CI/CD configured,CI systems,CI config files,CI jobs (approx),# of Pipelines/Runs,Pipeline success rate %,Avg pipeline duration (min),Unit test coverage %,Source files,Test files,Genuine test files,Suspicious test files,% Genuine tests,Test cases (approx),Assertions,AI/LLM detected,Primary LLM,LLM usage %,LLM usage basis,LLM breakdown,AI commits,Commits scanned (LLM),AI MRs/PRs,AI tool configs,License,License risk,Syntax valid % (py),Avg line length,Long lines %,Comment ratio %,Docstring % (py),Avg function length,Duplicate files %,Secrets found,PII emails,Eval contamination files,Quality score,Training suitability,Code availability
prakhau143/Princess,github,2025,1,2025-09-29,1,HTML,HTML 45%; JavaScript 40%; CSS 15%,2011165,1,0,0,,,,,,,2,No,,0,,0,,,,12,0,0,0,,0,0,No,,0.0,0/2 commits,,0,2,,,NONE,no-license (all rights reserved),,33.1,1.0,8.0,,37.4,0.0,0,1,0,90.0,C,Public (GitHub)
prakhau143/Princesss,github,2025,1,2025-10-11,1,HTML,HTML 75%; Python 25%,557904,1,0,0,,,,,,,3,No,,0,,0,,,,35,0,0,0,,0,0,Yes,GitHub Copilot,0.0,0/3 commits,GitHub Copilot 100%,0,3,,GitHub Copilot,NONE,no-license (all rights reserved),100.0,28.3,0.9,15.3,22.9,22.5,0.0,0,4,0,90.0,C,Public (GitHub)
prakhau143/Princes_ji,github,2026,0,2026-06-01,1,HTML,HTML 76%; Python 24%,15681,1,1,1,752.0,0.0,100.0,0.0,0.0,0.0,10,No,,0,,0,,,,26,0,0,0,,0,0,Yes,Claude (Claude Code),20.0,2/10 commits,Claude (Claude Code) 86%; GitHub Copilot 14%,2,10,0,GitHub Copilot,NONE,no-license (all rights reserved),100.0,29.0,1.2,9.0,50.0,22.5,0.0,0,4,0,90.0,C,Public (GitHub)
prakhau143/ring-over,github,2025,1,2025-06-18,1,CSS,CSS 51%; JavaScript 45%; HTML 4%,41808,1,0,0,,,,,,,5,No,,0,,0,,,,1,0,0,0,,0,0,No,,0.0,0/5 commits,,0,5,,,NONE,no-license (all rights reserved),,47.7,5.5,6.1,,36.2,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/sip-dialer,github,2025,1,2025-11-16,2,,,58,1,0,0,,,,,,,2,No,,0,,0,,,,0,0,0,0,,0,0,No,,0.0,0/2 commits,,0,2,,,NONE,no-license (all rights reserved),,,,,,,,0,0,0,,C,Public (GitHub)
prakhau143/sneat,github,2025,1,2025-08-25,2,HTML,HTML 82%; Python 10%; JavaScript 8%; CSS 1%,110416,1,0,0,,,,,,,2,No,,0,,0,,,,28,0,0,0,,0,0,No,,0.0,0/2 commits,,0,2,,,NONE,no-license (all rights reserved),100.0,26.1,0.4,11.3,26.3,49.4,0.0,0,1,0,90.0,C,Public (GitHub)
prakhau143/Spotify_podcast,github,2025,1,2026-06-30,1,JavaScript,JavaScript 99%; HTML 1%,299651,1,0,0,,,,,,,5,No,,0,,2,100.0,0.6,,14,0,0,0,,0,0,No,,0.0,0/5 commits,,0,5,,,NONE,no-license (all rights reserved),,24.7,1.5,0.5,,555.5,0.0,0,0,0,70.0,C,Public (GitHub)
prakhau143/Stock-Trend-Visualizing-And-Forecasting--main,github,2025,1,2025-07-05,1,Jupyter Notebook,Jupyter Notebook 99%; Python 1%,66179,1,0,0,,,,,,,1,No,,0,,0,,,,1,0,0,0,,0,0,No,,0.0,0/1 commits,,0,1,,,NONE,no-license (all rights reserved),100.0,23.2,0.0,6.1,0.0,,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/task_manager,github,2026,0,2026-07-09,1,Python,Python 39%; HTML 29%; CSS 16%; JavaScript 16%,1462,1,0,0,,,,,,,9,No,,0,,0,,,,18,0,0,0,,0,0,No,,0.0,0/9 commits,,0,9,,,NONE,no-license (all rights reserved),100.0,22.5,0.0,1.2,12.5,51.6,0.0,0,0,0,80.0,C,Public (GitHub)
prakhau143/the-gym,github,2025,1,2025-11-07,1,CSS,CSS 49%; HTML 43%; JavaScript 7%,37653,1,0,0,,,,,,,9,No,,0,,0,,,,1,0,0,0,,0,0,No,,0.0,0/9 commits,,0,9,,,NONE,no-license (all rights reserved),,22.7,0.0,17.4,,44.3,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/TO-do-,github,2025,1,2025-05-21,1,JavaScript,JavaScript 66%; HTML 23%; TypeScript 11%,1287,1,0,0,,,,,,,1,No,,0,,0,,,,4,0,0,0,,0,0,No,,0.0,0/1 commits,,0,1,,,NONE,no-license (all rights reserved),,18.9,0.0,11.5,,,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/Trading-bot-,github,2026,0,2026-06-16,1,Python,Python 100%,4388,1,0,0,,,,,,,8,No,,0,,0,,,,30,3,3,0,100.0,32,40,No,,0.0,0/8 commits,,0,8,,,NONE,no-license (all rights reserved),100.0,23.3,0.7,4.2,25.0,16.5,0.0,0,1,0,100.0,C,Public (GitHub)
prakhau143/twilio,github,2025,1,2025-10-18,1,Python,Python 100%,204,1,0,0,,,,,,,1,No,,0,,0,,,,13,0,0,0,,0,0,No,,0.0,0/1 commits,,0,1,,,NONE,no-license (all rights reserved),100.0,26.5,0.3,18.0,53.8,61.0,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/web-analyzer,github,2025,1,2025-07-25,0,CSS,CSS 40%; JavaScript 26%; HTML 17%; Python 17%,1448491,1,0,0,,,,,,,3,No,,0,,0,,,,3,0,0,0,,0,0,No,,0.0,0/3 commits,,0,3,,,NONE,no-license (all rights reserved),100.0,24.4,1.2,10.7,0.0,41.7,0.0,0,0,0,90.0,C,Public (GitHub)
prakhau143/whatsapp-message-bot,github,2025,1,2025-12-20,2,Python,Python 98%; Jupyter Notebook 2%,5646,1,0,0,,,,,,,4,No,,0,,0,,,,22,0,0,0,,0,0,No,,0.0,0/4 commits,,0,4,,,NONE,no-license (all rights reserved),100.0,32.4,0.1,3.6,13.6,301.1,0.0,0,0,0,80.0,C,Public (GitHub)
prakhau143/yoga-project,github,2025,1,2026-07-08,1,SCSS,SCSS 55%; JavaScript 44%; HTML 1%; CSS 0%,246315,1,0,0,,,,,,,28,No,,0,,0,,,,26,0,0,0,,0,0,No,,0.0,0/28 commits,,0,28,,,NONE,no-license (all rights reserved),,26.5,1.0,1.9,,80.1,0.0,0,1,0,70.0,C,Public (GitHub)
